Centrality Measure,PCA Component (Corona),PCA Component (Influenza)
eigenvector,0.247371546,0.251313744
eigenvector_numpy,0.247370803,0.2513151
subgraph,0.220602524,0.206889876
katz_numpy,-0.19500077,-0.062646137
subgraph_exp,0.220602524,0.206889876
degree,0.230922016,0.228578416
laplacian,0.229344491,0.230029188
closeness,0.154370582,0.185337564
harmonic,0.165550446,0.188796907
betweenness,0.232026097,0.217588819
decay,0.155494903,0.180719177
eccentricity,-0.044992351,-0.126045992
radiality,0.138759815,0.180237725
current_flow_closeness,0.158766485,0.175019815
information,0.158766485,0.175019815
current_flow_betweenness,0.233582054,0.219508499
approximate_current_flow_betweenness,0.232121245,0.212989047
communicability_betweenness,0.247666749,0.239679894
load,0.232268841,0.216410786
pagerank,0.229638172,0.22453109
second_order,-0.16106563,-0.17391303
proximal_betweenness,0.225022773,0.210308534
katz,0.247474449,0.253640283
beta_reach,0.145284311,0.179727856
